eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
50.0,-61.20456897500001,1367,0.0066265604,0.070458986,2.801597,-0.00736696,115.03489,-0.05105400085449219,1,2048,1.497499849065207,2048
50.0,-60.751357024691366,1333,0.0046099857,0.044628907,2.73726,-0.0076586343,110.42943,-0.05119526386260986,2,4096,3.03340890200343,4096
50.0,-59.736734690000006,1420,0.0053211334,0.05239258,2.661369,-0.008980219,99.689316,-0.022557854652404785,3,6144,4.475571489077993,6144
50.0,-58.43760427999999,1406,0.00476213,0.04506836,2.596128,-0.006457217,95.56833,-0.009884834289550781,4,8192,5.932677108095959,8192
50.0,-56.88711085,1429,0.0047558015,0.048535157,2.5506415,-0.006995903,86.27387,-0.007653594017028809,5,10240,7.365853713010438,10240
50.0,-55.8255253,1427,0.0040145805,0.033837892,2.4963071,-0.005880608,81.003654,0.022310972213745117,6,12288,8.801207489101216,12288
50.0,-54.58494309,1419,0.004670447,0.045947265,2.4343266,-0.00652064,77.44989,0.041301608085632324,7,14336,10.244006884051487,14336
50.0,-53.757188830000004,1418,0.0032075378,0.023535157,2.388231,-0.00430579,73.343094,0.06977206468582153,8,16384,11.688188246102072,16384
50.0,-52.71988641,1424,0.0038635079,0.03745117,2.3459888,-0.0052661663,69.95699,0.059501588344573975,9,18432,13.126347409095615,18432
50.0,-51.66704133,1428,0.00456346,0.047021486,2.309935,-0.0054207435,64.819016,0.06195271015167236,10,20480,14.560526271001436,20480
50.0,-51.14824872,1420,0.004698135,0.050732423,2.2724202,-0.0075720525,64.280495,0.07271379232406616,11,22528,16.002395342104137,22528
50.0,-51.441056380000006,1406,0.0037448327,0.032226562,2.2415223,-0.0048740534,64.827805,0.08756303787231445,12,24576,17.45857054705266,24576
50.0,-50.57110441999999,1424,0.004341323,0.043603517,2.2141821,-0.006086981,56.554688,0.09877485036849976,13,26624,18.899290917092003,26624
50.0,-49.38772126,1407,0.0034013216,0.025976563,2.177261,-0.0077608675,53.816986,0.09860128164291382,14,28672,20.355215253075585,28672
50.0,-48.499473550000005,1420,0.0030445931,0.027294923,2.1273394,-0.007435278,51.022583,0.10587912797927856,15,30720,21.797795423073694,30720
50.0,-47.93322627,1428,0.003955135,0.04111328,2.0873792,-0.0056884307,49.065136,0.10172009468078613,16,32768,23.23169654502999,32768
50.0,-46.835132109999996,1423,0.003673675,0.031445313,2.056287,-0.0058139684,45.116177,0.11437290906906128,17,34816,24.67112801107578,34816
50.0,-45.59018024,1429,0.004043334,0.03828125,2.0329247,-0.006201719,41.703087,0.14821898937225342,18,36864,26.104567541042343,36864
50.0,-45.15541354999999,1418,0.0031434305,0.02421875,2.0093884,-0.0053644604,40.900337,0.11709433794021606,19,38912,27.54874803707935,38912
50.0,-44.560917249999996,1416,0.004561098,0.051708985,1.983079,-0.0063874116,38.681007,0.15917199850082397,20,40960,28.994758637039922,40960
50.0,-44.073946910000004,1414,0.0016984387,0.008544922,1.9595802,-0.0038217609,39.19182,0.12334936857223511,21,43008,30.442555696005,43008
50.0,-43.78790785,1421,0.0032625843,0.025439452,1.9386747,-0.0039591296,36.192043,0.15019136667251587,22,45056,31.88424622907769,45056
50.0,-43.17305604,1419,0.0036743183,0.032324217,1.9161386,-0.004287381,33.22626,0.14430147409439087,23,47104,33.32798223604914,47104
50.0,-42.74653938,1416,0.0046333247,0.048339844,1.8971809,-0.005818994,36.08634,0.13127321004867554,24,49152,34.773812454077415,49152
50.0,-43.07441944999999,1403,0.003984628,0.036816407,1.8716786,-0.0060595013,33.727795,0.15260112285614014,25,51200,36.23387492704205,51200
50.0,-42.91090585999999,1422,0.0032735155,0.025097657,1.8468548,-0.0045247646,32.25574,0.2059982419013977,26,53248,37.67451485199854,53248
50.0,-42.03593565,1420,0.0036353555,0.0359375,1.8244995,-0.0064768894,29.235302,0.20926135778427124,27,55296,39.11624041106552,55296
50.0,-41.271364139999996,1424,0.0029307315,0.024169922,1.8053792,-0.0043600705,28.719791,0.16168475151062012,28,57344,40.554027029080316,57344
50.0,-40.398799430000004,1426,0.0018598385,0.010839844,1.7837992,-0.0043204287,26.658691,0.1829925775527954,29,59392,41.990372786996886,59392
50.0,-40.592114710000004,1429,0.0033358138,0.024414062,1.7594507,-0.006085145,26.925013,0.18379616737365723,30,61440,43.42345743102487,61440
50.0,-40.2443978,1419,0.0016936196,0.009863282,1.740627,-0.00419416,24.56853,0.21542143821716309,31,63488,44.8667829670012,63488
50.0,-39.20632045,1424,0.003473604,0.03100586,1.7228005,-0.0064711375,24.26076,0.15152090787887573,32,65536,46.305028221104294,65536
50.0,-38.89511669,1407,0.0036369474,0.030419922,1.7049099,-0.004280613,23.095556,0.1665169596672058,33,67584,47.760706842993386,67584
50.0,-38.23733348,1417,0.0029347865,0.020898437,1.6886533,-0.00508816,21.726398,0.20235669612884521,34,69632,49.209272781037726,69632
50.0,-37.97735148000001,1402,0.0030082795,0.021240234,1.6716219,-0.0044010947,21.91267,0.21453356742858887,35,71680,50.67039150604978,71680
50.0,-38.07121838,1421,0.0028937021,0.028857421,1.6584313,-0.0041931174,20.646557,0.19497889280319214,36,73728,52.11112796899397,73728
50.0,-37.22142024,1421,0.0019348878,0.010107422,1.6463379,-0.0037200246,17.511028,0.22702330350875854,37,75776,53.552078083041124,75776
50.0,-36.4182843,1425,0.002214314,0.017626952,1.6344341,-0.0039276634,19.409338,0.174547016620636,38,77824,54.98921937902924,77824
50.0,-36.27132719,1418,0.0018504441,0.010498047,1.6193243,-0.0035256841,18.412325,0.19525456428527832,39,79872,56.43297847302165,79872
50.0,-35.977519470000004,1428,0.0017255625,0.010644531,1.6060368,-0.0028655438,16.909496,0.1905878782272339,40,81920,57.86723494401667,81920
50.0,-36.18816197,1410,0.0014216308,0.011230469,1.6004988,-0.002742862,18.416307,0.1866627335548401,41,83968,59.319297507056035,83968
50.0,-36.20934406000001,1424,0.0010308396,0.0034667968,1.5939976,-0.0022260533,17.073,0.22458308935165405,42,86016,60.75730440206826,86016
50.0,-36.05373639,1421,0.0020083697,0.012792969,1.5848256,-0.0032360912,16.936794,0.24316132068634033,43,88064,62.198472233023494,88064
50.0,-36.37642076,1420,0.0020729932,0.012890625,1.5742196,-0.004812691,17.968065,0.24985283613204956,44,90112,63.64108606299851,90112
50.0,-36.253933149999995,1408,0.0017885106,0.010058594,1.5668252,-0.002955736,16.78184,0.22895246744155884,45,92160,65.09604410303291,92160
50.0,-35.58581928,1426,0.00089709356,0.0031738281,1.5624876,-0.0022847594,15.890887,0.24451029300689697,46,94208,66.5320362620987,94208
50.0,-34.975692009999996,1428,0.00014709108,0.0,1.5595043,-0.00070045964,15.233358,0.26123541593551636,47,96256,67.96591669705231,96256
50.0,-35.38916357999999,1426,7.282067e-06,0.0,1.5579022,-0.00020165474,16.881762,0.23932617902755737,48,98304,69.40221550501883,98304
